"items","intext","inname","inconstraint","outtext","outname","outconstraint","goldtext","goldname","goldconstraint","changed","correct","entity_name matched"
"127","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin",,"Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin","pileus","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","margin","cap","Y","N",""
"128","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","centre",,"Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","center","pileus","Cap 9-12 cm, convex to somewhat centrally depressed, young convex with applanate centre and incurved margin connected to the stem by a thin, white, fimbriate-subscaly veil, margin finally straight and extending 2.5 mm beyond the gills, mostly with some remnants of veil, young white and densely fimbriate-small scaly, scales thin, somewhat larger and denser towards margin, centre ± cracking into coarser, ± brownish scales, but also often smooth.","centre","cap","Y","N","not matched"
"129","chamber","chamber",,"chamber","chamber",,"chamber","chamber",,"Y","Y",""
"130","component","component",,"component","component",,"component","component",,"Y","Y",""
"131","Scattered pleurocystidia, with a granular content, measuring 33-66 x 16-25 µm and 35-50 x 18-29 µm, with a clavate to pyriform morphology have been observed in LAPAG 39 and PRM 842996 (type of A. caespitipes) respectively.","content",,"Scattered pleurocystidia, with a granular content, measuring 33-66 x 16-25 µm and 35-50 x 18-29 µm, with a clavate to pyriform morphology have been observed in LAPAG 39 and PRM 842996 (type of A. caespitipes) respectively.","content","pleurocystidium","Scattered pleurocystidia, with a granular content, measuring 33-66 x 16-25 µm and 35-50 x 18-29 µm, with a clavate to pyriform morphology have been observed in LAPAG 39 and PRM 842996 (type of A. caespitipes) respectively.","content","pleurocystidium","Y","Y",""
"132","Cheilocystidia catenulate, with one, two or more septa, very numerous, hyaline or with brown content;","content",,"Cheilocystidia catenulate, with one, two or more septa, very numerous, hyaline or with brown content;","content","cheilocystidium","Cheilocystidia catenulate, with one, two or more septa, very numerous, hyaline or with brown content;","content","cheilocystidium","Y","Y",""
"133","Basidia 17-20 x 6-7 µm, tetrasporic, at times trisporic, more rarely bisporic or monosporic, clavate or slightly truncate at the apex, with sterigmata up to 2 µm long and brown granular content.","apex",,"Basidia 17-20 x 6-7 µm, tetrasporic, at times trisporic, more rarely bisporic or monosporic, clavate or slightly truncate at the apex, with sterigmata up to 2 µm long and brown granular content.","apex","basidium","Basidia 17-20 x 6-7 µm, tetrasporic, at times trisporic, more rarely bisporic or monosporic, clavate or slightly truncate at the apex, with sterigmata up to 2 µm long and brown granular content.","apex","basidium","Y","Y",""
"134","Basidia 17-20 x 6-7 µm, tetrasporic, at times trisporic, more rarely bisporic or monosporic, clavate or slightly truncate at the apex, with sterigmata up to 2 µm long and brown granular content.","content",,"Basidia 17-20 x 6-7 µm, tetrasporic, at times trisporic, more rarely bisporic or monosporic, clavate or slightly truncate at the apex, with sterigmata up to 2 µm long and brown granular content.","content","basidium","Basidia 17-20 x 6-7 µm, tetrasporic, at times trisporic, more rarely bisporic or monosporic, clavate or slightly truncate at the apex, with sterigmata up to 2 µm long and brown granular content.","content","basidium","Y","Y",""
"135","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996 (type of A. caespitipes).","side",,"Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996 (type of A. caespitipes).","side","lamella","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996 (type of A. caespitipes).","side","lamella","Y","Y",""
"136","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996 (type of A. caespitipes).","content",,"Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996 (type of A. caespitipes).","content","macrobasidium","Anomalous macrobasidia have been observed on the sides of lamellae, measuring for example 40 x 13 or 35 x 15 µm, and showing a granular content in LAPAG 39, and 52 x 20 µm, hyaline and similar to cheilocystidia but bearing sterigmata in PRM 842996 (type of A. caespitipes).","content","macrobasidium","Y","Y",""
"137","Spores 7-9 x 6-7.5 µm, av. 8.2 x 6.9 µm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","pore","apical","Spores 7-9 x 6-7.5 µm, av. 8.2 x 6.9 µm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","pore","spore apical","Spores 7-9 x 6-7.5 µm, av. 8.2 x 6.9 µm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","pore","spore apical","Y","Y",""
"138","Spores 7-9 x 6-7.5 µm, av. 8.2 x 6.9 µm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","content",,"Spores 7-9 x 6-7.5 µm, av. 8.2 x 6.9 µm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","content","spore","Spores 7-9 x 6-7.5 µm, av. 8.2 x 6.9 µm, Q=1.09-1.18-1.29, av. 1.18, broadly ellipsoid to subglobose, brown, lacking an apical pore, with prominent hilar appendage, content granular or at times forming a large drop.","content","spore","Y","Y",""
"139","Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","apex",,"Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","apex","spore","Spores (5.5-) 6.5-8 (-8.5) x 4-5.5 (-6) μm, av. 7.2 x 5.2 µm, Q=1.3-1.54, av. 1.4, broadly ellipsoid, brown, thick-walled, sometimes with thin-walled apex, without an apical pore, with 1-2 refractive droplets or granular content.","apex","spore","Y","Y",""
